CreatedAt,Text,SentimentPct,Location,ImageUrl
03/01/2020 03:27:15,#GetBehindBernie #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #GreenNewDeal  #BernieSanders2020 #PresidentSanders  #SCPrimary #SuperTuesday #BernieBeatsTrump #CaliforniaPrimary #CAforBernie #TexasPrimary #TexasForBernie #MAForBernie #MAPrimary #Massachusetts https://t.co/S2gbHJhL4j,0.81443614,,
03/01/2020 02:51:24,"#SouthCarolinaPrimary #DemocratPrimary #BernieSanders
#Democrats #Bernie2020 #Election2020 #Democrats #TexasPrimary #CaliforniaPrimary",0.82241225,,
03/01/2020 02:48:40,"After Tonight's #SouthCarolinaPrimary , Who Do You Think Will Win Big On #SuperTuesday ?

--- Please vote and #retweet for bigger sample ---

#Biden2020 #Bernie2020 #Bloomberg2020 #Warren2020 #CaliforniaPrimary #TexasPrimary",0.2754327,"Los Angeles, CA",
03/01/2020 02:19:41,Joe Biden Has Advocated Cutting Social Security for 40 Years #Bernie2020 #FeelTheBern #BernieBeatsTrump #BernieSanders #FeelTheBern2020 #NotMeUs #SocialSecurity #CaliforniaPrimary #CaliforniaForBernie #TXPrimary #BernieIsMyPresident  https://t.co/YeYvwVS23H,0.35738733,,
03/01/2020 02:16:45,We are going to kick everyone’s a$$ 👊🏻🔥💯#SCprimary2020 #Bernie2020 #CaliforniaPrimary #BernieBeatsTrump https://t.co/olTQ70mnCy,0.8989376,United States,
03/01/2020 02:16:10,"Biden Says He Won't Cut Social Security, but His Track Record Shows Otherwise | #FeelTheBern #NotMeUs #Bernie2020 #CaliforniaForBernie #CaliforniaPrimary #BernieBeatsTrump #TexasPrimary #SocialSecurity #BernieSanders #FeelTheBern2020 #FightFor15 #Fight https://t.co/WHa6e1JZhr",0.48399577,,
03/01/2020 02:07:36,Court Concedes DNC Had the Right to Rig Primaries Against Sanders – Observer #DNCCorruption #DNCRigging #FightThePower #FeelTheBern #FeelTheBern2020 #BernieBeatsTrump #Bernie2020 #NotMeUs #OnlyBernie #BernieOrBust #CaliforniaPrimary #CaliforniaForBernie  https://t.co/dGuZ8TL6RC,0.70459557,,
03/01/2020 01:39:49,"If no one drops out by Tuesday, California could almost clinch it for Bernie Sanders #FeelTheBern #FeelTheBern2020 #NotMeUs #FightThePower #Bernie2020 #BernieIsMyPresident #BernieBeatsTrump #CancelStudentDebt #CaliforniaPrimary #BernieCare4All #BernieCA  https://t.co/ivvZqgZPFT",0.6696092,,
03/01/2020 01:39:06,#CAprimary #CaliforniaPrimary #PhonebankForBernie #VolunteerforBernie #NotMeUs https://t.co/vTU4DRru6J,0.83700335,Florida,
03/01/2020 01:20:24,I donated more than once this week. Come on! Let's show #BernieSanders we have his back!! #SuperTuesday is coming! #CaliforniaPrimary #TexasPrimary #virginiaprimary #Massachusetts Thanks #SouthCarolinaForBernie!! ❤️❤️ https://t.co/tfUFUAxjXF,0.8072525,"New York, USA",
